locationLat,locationLon,roadSize,bedrooms,bathrooms,landArea,price,builtOn
27.7780872,85.36232349672666,13,5,4,1711.25,36000000,2020
27.6561677,85.3060365,16,7,8,1813.925,49500000,2018
27.6758169,85.3384848,20,7,4,3148.7,60000000,2021
27.7225522,85.3523621,12,8,7,1369,37000000,2011
27.68744445,85.2354220044454,10,5,3,2053.5,29000000,2019
27.6882499,85.2693147,32,2,1,1060.9750000000001,85,2017
27.7483836,85.3184514,12,4,4,1026.75,19500000,2003
27.7680456,85.3048436,13,5,4,1095.2,24000000,2021
27.666822,85.344299,13,3,3,752.95,17000000,2020
27.7018127,85.3108846,10,7,4,1813.925,35500000,2008
27.72047645,85.36504853184782,8,8,6,3148.7,67500000,2011
27.735438549999998,85.32908246125783,14,6,8,2772.225,75000000,2017
27.6434777,85.3714959,20,4,3,1026.75,29000000,2021
27.7480708,85.3567416,13,4,4,1026.75,17500000,2015
27.7480708,85.3567416,20,4,5,1095.2,21000000,2020
27.7393698,85.3533459,13,4,4,1813.925,33500000,2018
27.7437703,85.3343252,12,5,3,1026.75,19500000,2014
27.6499414,85.3325441,16,5,4,1882.375,50000000,2021
27.6503928,85.3207649,12,6,6,2806.45,60000000,2018
27.7056935,85.3217822,13,5,5,1095.2,29900000.000000004,2018
27.7548169,85.3021069,12,5,3,5476,65000000,2020
27.7780872,85.36232349672666,20,5,2,1369,24000000,2017
27.7388555,85.3396882,18,5,5,1369,38500000,2004
27.6739403,85.4055148,20,4,4,2087.725,37500000,2017
27.775184,85.3612405,12,4,3,3080.25,110000000,2021
27.7234503,85.2945917,13,5,3,2053.5,55000000,2015
27.750408049999997,85.25773076022733,18,5,3,10952,35,2020
27.68446,85.329354,13,2,1,1026.75,13500000,2018
28.10627885,82.31895613569378,20,2,2,NaN,80,2015
27.7017723,85.2879742,13,3,4,3148.7,70000000,2003
27.7233471,85.3331617,12,3,5,1060.9750000000001,40000000,2019
27.6696591,85.303522,12,4,4,1711.25,29000000,2015
27.7432876,85.3554198,12,5,4,1437.45,26000000,2020
27.7361203,85.3473916,13,6,5,1026.75,21000000,2014
27.7480708,85.3567416,16,4,4,1369,23500000,2018
27.7342051,85.3573186,10,2,1,1026.75,11200000.000000002,2015
27.7480708,85.3567416,13,2,1,1095.2,13500000,2003
27.7279694,85.3457219,13,4,4,752.95,17000000,2019
27.6434777,85.3714959,11,5,3,1060.9750000000001,15000000,2012
27.704617550000002,85.32718424741655,26,5,4,1197.875,37500000,2020
27.6828107,85.3710249,20,6,6,2738,50000000,2008
27.7769706,85.3390309,18,6,8,1711.25,39000000,2014
27.7342051,85.3573186,10,5,3,1369,19000000,2014
27.7608491,85.3519611,13,4,4,1437.45,32500000,2018
27.6903065,85.2969613,10,7,5,1711.25,28000000,2021
27.6930852,85.219198,13,4,4,1369,16500000,2021
27.6499414,85.3325441,20,2,2,3080.25,38000000,2017
27.6499414,85.3325441,20,3,3,1095.2,32500000,2021
27.71304635,85.34952003174763,10,9,7,2395.75,60000000,2020
27.751429299999998,85.28572478016306,13,5,4,1026.75,15000000,2008
27.7780872,85.36232349672666,12,3,3,4107,75000000,2018
27.7780872,85.36232349672666,16,6,5,3080.25,60000000,2021
27.6758169,85.3384848,12,6,4,752.95,27500000,2021
27.7480708,85.3567416,13,5,4,1403.225,22000000,2018
27.7463972,85.323966,10,7,4,3080.25,45000000,2020
27.74699245,85.35317401198738,12,6,3,1095.2,20000000,2014
27.666822,85.344299,20,5,4,1026.75,21000000,2018
27.7769706,85.3390309,12,5,4,1711.25,44000000,2021
27.6561677,85.3060365,16,3,3,1369,40000000,2021
27.6561677,85.3060365,15,4,4,1711.25,36000000,2001
27.666822,85.344299,13,4,3,787.175,18000000,2021
27.72685225,85.35334600103084,13,4,4,2395.75,40000000,2021
27.666822,85.344299,16,6,4,1095.2,23500000,2017
27.6998367,85.3443133,16,4,4,2464.2000000000003,65000000,2011
27.7476694,85.3180692,12,5,3,3422.5,62500000,2020
27.7275896,85.338357,16,4,3,1369,34000000,2021
27.6561677,85.3060365,13,4,5,1095.2,24500000,2017
27.6499414,85.3325441,12,8,3,2087.725,26000000,2021
27.6932164,85.3673732,13,6,3,1026.75,24000000,2021
27.7352873,85.3058242,10,6,3,2395.75,49000000,2021
27.7480708,85.3567416,13,5,3,1060.9750000000001,18500000,2017
27.74699245,85.35317401198738,13,5,5,1060.9750000000001,20000000,2014
27.6781899,85.3018175,20,5,4,1026.75,35000000,2005
27.6571843,85.4313599,13,5,3,1403.225,22000000,2020
27.7458288,85.342576,20,6,3,2464.2000000000003,52000000,2019
27.6879352,85.3156517,9,9,4,5886.7,80000000,2019
27.6654025,85.46718247508879,12,8,3,1437.45,19000000,2021
27.6681336,85.3859703,20,12,4,1369,25000000,2021
27.6620555,85.3133202,20,4,4,1471.675,31000000,2008
27.7171465,85.3466713,20,8,6,1437.45,32000000,2019
27.707529,85.282715,20,4,4,1095.2,27000000,2021
27.6747238,85.3977084,20,4,4,1471.675,27000000,2020
27.666822,85.344299,13,6,4,1369,23000000,2019
27.7055352,85.2916917,10,2,2,1711.25,55,2019
27.7780872,85.36232349672666,12,4,4,1711.25,38000000,2005
27.6587407,85.3003249,13,3,3,1026.75,23000000,2021
27.775184,85.3612405,13,3,1,1369,16000000,2017
27.6587407,85.3003249,14,4,4,1369,30000000,2021
27.7548169,85.3021069,12,5,3,5476,65000000,2020
27.74699245,85.35317401198738,12,4,2,1369,25000000,2005
27.7422381,85.3326175,14,4,4,2429.975,150000000,2011
27.6561677,85.3060365,10,4,5,1711.25,42500000,2021
27.6620555,85.3133202,15,5,3,1369,27500000,2017
27.6561677,85.3060365,13,4,4,1711.25,36000000,2007
27.6587407,85.3003249,13,3,3,1026.75,23000000,1997
27.6279927,85.3323532,20,7,5,1369,29000000,2017
27.666822,85.344299,13,7,3,1779.7,25000000,2011
27.7354147,85.3221364,12,10,4,2087.725,34000000,2020
27.7279694,85.3457219,25,10,3,1060.9750000000001,28000000,2021
27.666822,85.344299,16,6,4,1813.925,29500000,2021
27.6561677,85.3060365,13,5,3,1711.25,33500000,2017
27.6739403,85.4055148,13,6,3,1369,25000000,2005
27.7234503,85.2945917,13,5,6,1369,27500000,2021
27.7279694,85.3457219,13,5,3,787.175,16000000,2021
27.7339796,85.3116017,8,5,3,1026.75,14000000,2005
27.735438549999998,85.32908246125783,12,5,6,2395.75,60000000,2011
27.70279035,85.2358779017852,18,4,3,821.4,18000000,2021
27.6561677,85.3060365,18,5,4,1779.7,57500000,2021
27.6141343,85.3206728,12,7,5,1813.925,27500000,2007
27.6503928,85.3207649,15,4,4,1060.9750000000001,23500000,1997
27.7437703,85.3343252,28,5,5,1369,30000000,2020
27.7748587,85.3611288,15,4,5,2053.5,47000000,2021
27.6829626,85.3310192,12,12,6,1026.75,51000000,2021
27.6787681,85.442723,13,9,6,1437.45,39900000,2017
27.7686237,85.3305739,16,5,5,2800,1.74,2021
27.6536719,85.3285101,13,4,5,1711.25,28500000,2017
27.704617550000002,85.32718424741655,16,6,4,1711.25,28500000,2020
27.7058557,85.317754,20,4,4,684.5,26000000,2003
27.7177649,85.30057633973956,13,6,3,752.95,22500000,2015
27.7055352,85.2916917,14,4,3,1437.45,31000000,2016
27.7055352,85.2916917,12,5,5,4175.45,85000000,2020
27.6499414,85.3325441,12,5,3,1403.225,22500000,2017
27.68744445,85.2354220044454,13,4,4,1026.75,15500000,2015
27.7686237,85.3305739,15,5,5,1369,32500000,2016
27.7780872,85.36232349672666,13,6,8,4107,100000000,2015
27.6852122,85.34864654895267,16,6,4,1437.45,45000000,2015
27.676664,85.2782438,12,6,4,3422.5,28500000,2016
27.6837719,85.309353,8,6,6,2738,68000000,2015
27.6499414,85.3325441,13,6,6,1403.225,28700000,2021
27.7422381,85.3326175,20,7,6,4107,92000000,2008
26.6402175,87.9294562,30,3,1,1250,38,2008
27.7608491,85.3519611,15,4,4,1369,32000000,2020
27.7780872,85.36232349672666,12,4,7,2395.75,59000000,2014
27.6587407,85.3003249,15,4,4,1403.225,33000000,2011
27.6620555,85.3133202,15,5,3,1369,27000000,2005
27.6620555,85.3133202,15,4,3,1095.2,24000000,2020
27.7339796,85.3116017,12,8,6,1437.45,29500000,2019
27.6990751,85.2814445,16,4,3,1711.25,25000000,2014
27.7608491,85.3519611,13,5,5,1711.25,35000000,2005
27.7608491,85.3519611,15,5,5,1437.45,32000000,2017
27.7682737,85.3733743,13,4,5,2464.2000000000003,55000000,2003
27.7682737,85.3733743,13,5,5,1369,35000000,2020
27.6587407,85.3003249,20,4,5,1026.75,23500000,2017
27.6587407,85.3003249,16,4,3,1026.75,23000000,2019
27.6561677,85.3060365,16,4,4,1471.675,28000000,2005
27.6620555,85.3133202,15,4,4,1060.9750000000001,23500000,2020
27.6829626,85.3310192,13,7,3,1369,40000000,2001
27.6499414,85.3325441,12,6,4,1369,21500000,2014
27.69278815,85.3712972816073,20,4,3,2053.5,40000000,2011
27.6990751,85.2814445,13,6,3,1026.75,20500000,2011
27.7361203,85.3473916,18,6,4,1711.25,45000000,2014
27.7103336,85.2933481,22,6,3,4209.675,62,2011
27.6561677,85.3060365,12,4,3,1026.75,24000000,2005
27.6587407,85.3003249,13,7,4,1369,32500000,2014
27.6503928,85.3207649,20,8,6,2395.75,80000000,2011
27.692021349999997,85.30054695162818,10,2,1,1026.75,10500000,2005
27.6499414,85.3325441,13,3,3,1369,21100000,2020
27.721503,85.38047809037266,16,3,4,1437.45,27500000,2011
27.6233873,85.3486897,20,4,4,2053.5,48500000,2015
27.7250256,85.34074,15,4,5,5476,130000000,2011
27.6688902,85.3496768,13,6,4,2053.5,38500000,2014
27.707529,85.282715,14,5,3,2224.625,70000000,2005
27.7275896,85.338357,18,5,3,2053.5,46000000,2017
27.7780872,85.36232349672666,13,7,5,2943.35,115000000,2013
27.6561677,85.3060365,16,6,6,1369,37500000,2003
27.666822,85.344299,14,4,4,1369,24000000,2020
27.7682737,85.3733743,14,6,3,3764.75,80000000,2019
27.7126782,85.3287033,16,5,5,5818.25,135000000,2003
27.7437703,85.3343252,20,6,4,2053.5,33000000,1995
27.7535604,85.3402018,14,6,4,1369,33000000,1997
27.707529,85.282715,16,4,4,1437.45,24000000,2019
27.7017723,85.2879742,13,7,4,1779.7,46000000,2017
27.7307726,85.384938,12,6,5,752.95,17000000,2013
27.6347661,85.3023087,20,4,5,1369,32500000,2003
27.7339796,85.3116017,14,4,5,1403.225,22500000,2018
27.7682737,85.3733743,18,4,4,2053.5,45000000,2019
27.6561677,85.3060365,18,4,4,1369,28500000,2001
27.6561677,85.3060365,20,4,4,1095.2,25000000,2003
27.704617550000002,85.32718424741655,13,6,3,1437.45,27200000.000000004,2019
27.7279694,85.3457219,12,5,3,2053.5,40000000,2003
27.7250256,85.34074,12,7,4,1882.375,62500000,1995
27.7234503,85.2945917,12,7,4,1095.2,26000000,2015
27.69106075,85.30020492190519,18,5,4,752.95,22500000,2013
27.6930852,85.219198,13,4,4,1437.45,16000000,2013
27.666822,85.344299,13,3,3,752.95,17000000,2003
27.775184,85.3612405,13,5,5,1779.7,40000000,2013
27.6651141,85.32934288691034,15,5,3,1369,19500000,2020
27.775184,85.3612405,20,5,4,1369,37000000,2018
27.6930852,85.219198,13,4,4,1026.75,15000000,2008
27.7437703,85.3343252,12,5,4,1369,28500000,2011
27.666822,85.344299,13,4,4,1095.2,19000000,2019
27.7437703,85.3343252,13,3,3,1711.25,32000000,2019
27.68969005,85.3283405,14,5,5,2464.2000000000003,42000000,2019
27.7682737,85.3733743,18,5,6,2053.5,47500000,2017
27.7748587,85.3611288,14,5,5,1403.225,32500000,2019
27.6887901,85.3667416,20,4,3,1129.425,33000000,2019
27.7233471,85.3331617,13,4,4,1711.25,55000000,2020
27.68969005,85.3283405,18,7,3,1711.25,37500000,2013
27.6561677,85.3060365,20,4,4,1369,38000000,2018
27.6769722,85.4803234,10,2,1,1026.75,75,2005
27.6561677,85.3060365,20,4,5,1095.2,24500000,2008
27.775184,85.3612405,13,5,4,1369,27000000,2011
27.6704793,85.4403432,13,3,2,2464.2000000000003,35000000,2019
27.666822,85.344299,14,4,4,1026.75,18500000,2013
27.6587407,85.3003249,20,4,5,1095.2,26500000,2006
27.666822,85.344299,13,7,4,1026.75,16000000,2013
27.7686237,85.3305739,13,4,4,1026.75,23000000,2020
27.6620555,85.3133202,12,4,3,1026.75,26500000,2003
27.6411376,85.3184812,20,4,4,1369,27500000,2020
27.666822,85.344299,13,4,3,1026.75,19000000,2008
27.726129450000002,85.35778057853653,30,10,4,1026.75,39000000,2011
27.7017723,85.2879742,13,4,4,1437.45,25500000,2019
27.7234503,85.2945917,12,5,4,1095.2,28000000,2019
27.6930852,85.219198,5,7,4,1026.75,10500000,2019
27.6930852,85.219198,13,3,3,1026.75,11500000,2019
27.7483836,85.3184514,10,4,4,752.95,18500000,2019
27.6932983,85.2816525,12,5,3,2738,42500000,2018
27.7017723,85.2879742,14,6,4,1369,30000000,2005
27.7208558,85.2521799,20,4,2,1369,15500000,2008
27.7208558,85.2521799,20,4,2,1711.25,17500000,2011
27.7177649,85.30057633973956,20,7,7,1437.45,41000000,2008
27.6499414,85.3325441,13,6,4,1369,21500000,2020
27.6499414,85.3325441,13,5,4,1369,21000000,2020
27.6561677,85.3060365,15,4,5,1711.25,35000000,2011
27.6550757,85.3153542,10,2,1,1437.45,25000000,2016
27.7780872,85.36232349672666,13,6,6,1745.475,41500000,2019
27.7361203,85.3473916,16,4,4,4449.25,70000000,2013
27.7748587,85.3611288,14,6,4,2053.5,36000000,2019
27.7686237,85.3305739,14,4,5,1711.25,34500000,2008
27.6651141,85.32934288691034,13,5,4,1437.45,30000000,2020
27.7437703,85.3343252,12,7,5,3798.975,50000000,2017
27.75,85.333333,20,4,4,2395.75,38000000,2018
27.7686237,85.3305739,13,5,5,1026.75,31000000,2013
27.7682737,85.3733743,18,4,4,4107,67500000,2013
27.6932983,85.2816525,10,5,4,1403.225,29000000,2018
27.75294405,85.32531031465638,12,5,5,1471.675,28000000,2017
27.7780872,85.36232349672666,12,4,4,3080.25,55000000,2019
27.7686237,85.3305739,12,6,4,1745.475,32500000,2017
27.7197605,85.2869099,13,7,5,2395.75,39500000,2018
27.775184,85.3612405,14,5,5,1369,35000000,2019
27.7275896,85.338357,20,5,3,1779.7,47500000,2013
27.7352708,85.3058928,13,4,4,1026.75,26000000,2005
27.692021349999997,85.30054695162818,13,2,1,1026.75,98,2008
27.7535604,85.3402018,13,3,2,1369,22500000,2011
27.6587407,85.3003249,20,4,5,1369,28000000,2019
27.666822,85.344299,14,4,4,1026.75,18500000,2020
27.6347661,85.3023087,16,5,4,2053.5,35000000,2018
27.707529,85.282715,13,4,4,1403.225,25000000,2005
27.7342051,85.3573186,13,6,4,2395.75,36000000,2011
27.7339796,85.3116017,10,4,3,855.625,12500000,2020
27.5920585,85.3273921,26,3,4,1369,25000000,2008
27.69278815,85.3712972816073,13,6,4,1060.9750000000001,23000000,2018
27.69021995,85.25546344526533,13,5,3,1060.9750000000001,18000000,2018
27.6932983,85.2816525,12,7,4,1369,21800000,2007
27.6561677,85.3060365,13,6,4,1369,25000000,2008
27.766667,85.35,16,5,3,1369,21500000,2019
27.7647619,85.32968744356441,10,5,2,1026.75,18000000,1999
27.6746019,85.3281632,13,7,4,1026.75,24000000,2009
27.7197605,85.2869099,16,5,2,1095.2,24000000,2003
27.6279927,85.3323532,20,3,3,752.95,14500000,2009
27.7686237,85.3305739,14,5,5,1779.7,31500000,2014
27.7292515,85.3247457,20,4,5,1779.7,54000000,2020
27.7299717,85.2640212544878,12,4,5,1711.25,29000000,2016
27.7780872,85.36232349672666,20,4,5,2395.75,57500000,2018
27.7780872,85.36232349672666,12,6,4,1711.25,44500000,2019
27.7458288,85.342576,20,6,4,2738,45000000,2019
27.7850619,85.3009324,10,3,2,1369,15500000,1999
27.751429299999998,85.28572478016306,26,4,4,1369,18500000,2008
27.6930852,85.219198,13,5,5,1369,30000000,2009
27.6503928,85.3207649,20,5,3,1437.45,25000000,2020
27.6930852,85.219198,16,4,2,1369,19000000,2012
27.71336,85.3450409,30,6,6,1471.675,49000000,2018
27.7350285,85.3145453,20,5,4,1437.45,35000000,2005
27.666822,85.344299,13,6,5,1745.475,32500000,2020
27.708217949999998,85.33138309245912,15,4,4,2053.5,35000000,2016
27.7682737,85.3733743,12,4,4,4107,67500000,2008
27.6990751,85.2814445,13,4,4,1369,24500000,2009
27.6990751,85.2814445,13,5,4,1129.425,22000000,2003
27.6829626,85.3310192,15,6,5,1369,55500000,2009
27.6728976,85.3135363,16,4,4,2395.75,90000000,2008
27.7686237,85.3305739,20,4,4,1437.45,50000000,2014
27.7458288,85.342576,18,6,4,1095.2,38000000,2018
43.2573529,-79.8675813,16,5,5,1026.75,24500000,2009
27.63274015,85.31841439898326,18,6,4,1437.45,50000000,2012
27.6632,85.36113,13,5,4,1026.75,16000000,2018
27.6930852,85.219198,16,4,4,1711.25,32500000,2005
27.6930852,85.219198,16,6,4,1369,16000000,2013
27.6930852,85.219198,13,5,2,1060.9750000000001,16000000,2013
27.7769706,85.3390309,13,7,3,1129.425,29500000,2009
27.6932983,85.2816525,14,5,3,1369,22000000,2019
27.7017723,85.2879742,15,5,3,1129.425,31000000,2019
27.6434777,85.3714959,13,4,3,1711.25,18500000,2019
27.6992858,85.2733179,22,6,3,1403.225,22500000,2019
27.715312,85.3521565,10,4,4,2121.9500000000003,35000000,2019
27.7342051,85.3573186,13,6,5,1369,29000000,2020
27.6903065,85.2969613,12,5,4,1369,19000000,2020
27.6561677,85.3060365,20,3,4,1403.225,22000000,2018
27.6561677,85.3060365,12,5,5,1026.75,21000000,2009
27.707529,85.282715,15,4,3,1437.45,34500000,2019
27.7548169,85.3021069,8,2,1,1026.75,12000000,2017
27.7339796,85.3116017,8,2,1,1026.75,12000000,2003
27.6499414,85.3325441,16,5,3,1711.25,21000000,2017
27.7422381,85.3326175,12,6,4,1026.75,26000000,2006
27.68969005,85.3283405,10,5,3,752.95,10500000,2008
27.666822,85.344299,12,4,4,1026.75,18500000,2003
27.666822,85.344299,13,6,4,1026.75,16500000,2008
27.666822,85.344299,15,5,5,1095.2,25000000,2016
27.666822,85.344299,13,4,4,1095.2,22000000,2014
27.666822,85.344299,13,5,4,1060.9750000000001,21500000,2018
27.666822,85.344299,13,4,4,1437.45,24500000,2003
27.6990751,85.2814445,12,5,5,1095.2,20700000,2003
27.6990751,85.2814445,14,4,4,1095.2,22000000,2019
27.7548169,85.3021069,13,4,4,752.95,2.68,2003
27.6930852,85.219198,13,3,1,1060.9750000000001,11500000,2019
27.666822,85.344299,13,4,3,1060.9750000000001,21500000,2019
27.666822,85.344299,13,5,5,1026.75,17500000,2019
27.666822,85.344299,12,5,3,1026.75,18500000,2003
27.666822,85.344299,13,5,4,1060.9750000000001,19800000,2017
27.7437703,85.3343252,13,5,2,1711.25,32500000,2013
27.68990755,85.33565914433615,13,4,4,1369,42500000,2019
27.6852122,85.34864654895267,10,5,3,3422.5,50000000,2019
27.6932164,85.3673732,13,2,1,1026.75,12000000,2018
27.6932983,85.2816525,13,4,4,1437.45,28000000,2010
27.76704,85.300621,11,5,3,1711.25,24000000,2016
27.7803246,85.3676932,18,6,4,2053.5,42500000,2014
27.6827122,85.2265812,13,4,4,1711.25,33000000,2018
27.666822,85.344299,13,5,4,1060.9750000000001,20700000,2011
27.666822,85.344299,13,4,2,1026.75,18200000,2013
27.6990751,85.2814445,13,6,3,1369,22400000.000000004,2019
27.6990751,85.2814445,12,6,3,1369,24500000,2019
27.7686237,85.3305739,12,7,3,1711.25,32500000,2019
27.7780872,85.36232349672666,10,4,3,1026.75,29900000.000000004,2019
27.704617550000002,85.32718424741655,10,5,3,855.625,26500000,2011
27.6930852,85.219198,13,4,2,752.95,11500000,2017
27.692021349999997,85.30054695162818,10,2,1,752.95,11000000,2019
27.692021349999997,85.30054695162818,15,2,1,1095.2,11500000,2013
27.6930852,85.219198,15,4,3,1095.2,12000000,2019
27.665277,85.4025999,15,4,4,752.95,14000000,2017
27.665277,85.4025999,13,5,5,1711.25,13500000,2018
27.6610859,85.3697455,20,6,4,1129.425,25000000,2019
27.6536719,85.3285101,13,3,3,1437.45,21000000,2013
27.692021349999997,85.30054695162818,13,5,4,1026.75,11500000,2013
27.7204621,85.2959601222044,12,6,6,1437.45,30000000,2014
27.6986035,85.2992018,15,6,6,1026.75,50000000,2020
27.6986035,85.2992018,20,4,4,1026.75,22500000,2022
27.7299717,85.2640212544878,12,6,5,1711.25,29000000,2022
27.6990751,85.2814445,15,7,4,1095.2,28500000,2022
27.7039253,85.3328212,18,8,5,1095.2,46500000,2022
27.75294405,85.32531031465638,12,5,3,1095.2,24500000,2021
27.7422381,85.3326175,10,7,4,1060.9750000000001,28500000,2022
27.7354147,85.3221364,10,6,4,1026.75,25000000,2022
27.7432876,85.3554198,13,8,4,1129.425,17000000,2016
27.666822,85.344299,13,4,3,1026.75,19000000,2021
27.70296995,85.25990193360983,13,5,4,1026.75,19000000,2021
27.7039253,85.3328212,13,8,6,4791.5,100000000,1990
27.7017723,85.2879742,13,6,6,1095.2,22500000,2022
27.7073691,85.3224193,15,4,4,1711.25,50000000,2022
27.6930852,85.219198,13,6,5,1026.75,12800000,2022
27.692021349999997,85.30054695162818,13,2,1,1369,12000000,2017
27.6930852,85.219198,13,3,1,1095.2,9800000,2017
27.6930852,85.219198,13,4,3,1026.75,17000000,2017
27.7270105,85.3045555,15,10,6,6160.5,260000000,2013
27.6285987,85.303669,12,7,5,1095.2,25000000,2017
27.69278815,85.3712972816073,14,6,8,2395.75,62500000,2018
27.6561677,85.3060365,16,4,4,1369,38000000,2013
27.6561677,85.3060365,12,4,4,1437.45,25500000,2013
27.7126782,85.3287033,15,5,6,1369,38000000,2003
27.6837719,85.309353,14,4,4,5476,97500000,2019
27.775184,85.3612405,12,5,5,1779.7,43000000,2013
27.7354147,85.3221364,12,6,6,1369,30000000,2013
27.6561677,85.3060365,20,3,4,1095.2,27500000,2018
27.7780872,85.36232349672666,20,4,5,1779.7,30000000,2012
27.7780872,85.36232349672666,14,4,6,1882.375,32000000,2013
27.7535604,85.3402018,14,6,3,1711.25,41000000,2019
27.7233471,85.3331617,16,4,4,3422.5,130000000,2019
27.7780872,85.36232349672666,18,5,5,1437.45,31000000,2011
27.7437703,85.3343252,20,11,5,1437.45,25000000,2013
27.7233471,85.3331617,26,9,7,1779.7,70000000,2009
27.775184,85.3612405,26,3,4,1026.75,22000000,2013
27.7480708,85.3567416,10,6,4,1026.75,19000000,2013
27.762435500000002,85.36598383289746,13,2,1,1197.875,13000000,2019
27.7342051,85.3573186,13,5,4,1471.675,20000000,2001
27.7350285,85.3145453,12,5,4,1026.75,18500000,2022
27.7342051,85.3573186,6,4,2,1026.75,12500000,2018
27.7480708,85.3567416,13,4,2,1369,18000000,2022
27.7275896,85.338357,13,5,3,2156.1749999999997,46000000,2021
27.7279694,85.3457219,12,4,3,2053.5,45000000,2020
27.7437703,85.3343252,12,4,4,1711.25,33000000,2021
27.6561677,85.3060365,24,4,4,1095.2,28000000,2015
27.7480708,85.3567416,12,5,5,1711.25,32000000,2020
27.7480708,85.3567416,10,6,4,752.95,19000000,2022
27.7103336,85.2933481,15,5,3,1060.9750000000001,24500000,2022
27.7803246,85.3676932,12,5,4,2840.675,38000000,2022
27.7342051,85.3573186,15,5,4,1026.75,27500000,2015
27.7437703,85.3343252,13,4,4,2053.5,47500000,2002
27.7437703,85.3343252,13,5,3,1403.225,28000000,2021
27.735438549999998,85.32908246125783,20,4,5,1369,49000000,2021
27.781945,85.3249563,12,5,4,1369,13500000,2021
27.7437703,85.3343252,15,5,6,1026.75,32000000,2022
27.775184,85.3612405,10,5,3,1369,34000000,2022
27.7233471,85.3331617,12,6,6,752.95,22500000,2016
27.75294405,85.32531031465638,10,6,5,1403.225,32799999.999999996,2021
27.762435500000002,85.36598383289746,0,6,4,1095.2,23000000,2022
27.7437703,85.3343252,13,5,3,2395.75,40000000,2017
27.707529,85.282715,24,7,5,1711.25,55000000,2015
27.781945,85.3249563,13,5,5,1369,21500000,2014
27.7535604,85.3402018,12,5,6,1403.225,34500000,2019
27.7780872,85.36232349672666,15,4,4,1779.7,32500000,2015
27.775184,85.3612405,13,6,6,1369,34500000,2019
27.6829626,85.3310192,12,6,6,1711.25,32500000,2013
27.7342051,85.3573186,16,4,3,NaN,36000000,2014
27.781945,85.3249563,12,4,3,1197.875,24500000,2019
27.7780872,85.36232349672666,13,5,6,5886.7,67500000,2015
27.7437703,85.3343252,12,5,5,1026.75,21500000,2018
27.6503928,85.3207649,14,6,5,4449.25,55000000,2022
27.6930852,85.219198,13,6,4,958.3,18000000,2019
27.6930852,85.219198,10,5,3,752.95,11500000,2015
27.6932983,85.2816525,13,4,3,787.175,13000000,2019
27.6930852,85.219198,10,5,5,1711.25,21000000,2013
27.6930852,85.219198,11,4,3,787.175,13500000,2019
27.6930852,85.219198,11,5,4,2121.9500000000003,17500000,2018
27.6930852,85.219198,13,4,4,1026.75,12000000,2016
27.6930852,85.219198,13,4,4,1095.2,14000000,2016
27.7458288,85.342576,10,6,6,2053.5,36000000,2013
27.7275896,85.338357,20,4,2,2738,40000000,2018
27.72047645,85.36504853184782,13,7,3,2395.75,80000000,2018
27.707529,85.282715,20,5,4,1540.125,26500000,2019
27.7458288,85.342576,10,5,5,2053.5,37000000,2019
27.7535604,85.3402018,16,5,3,1882.375,43000000,2013
27.7437703,85.3343252,26,3,4,1026.75,22000000,2019
27.7208558,85.2521799,15,4,4,1471.675,23000000,2016
27.7194096,85.315162,15,5,3,2121.9500000000003,55000000,2018
27.7126782,85.3287033,15,6,6,2772.225,76000000,2009
27.7126782,85.3287033,15,6,5,1369,38000000,2019
27.6990751,85.2814445,13,4,4,2053.5,32000000,2019
27.7437703,85.3343252,12,6,4,1026.75,32000000,2019
27.6837719,85.309353,12,6,6,1745.475,58000000,2017
27.7780872,85.36232349672666,12,6,3,1060.9750000000001,23500000,2013
27.7039253,85.3328212,20,8,7,1197.875,46500000,2013
27.7354147,85.3221364,13,6,4,1369,32000000,2000
27.775184,85.3612405,15,6,5,1369,32500000,2000
27.7780872,85.36232349672666,12,7,7,1197.875,48000000,2022
27.7354147,85.3221364,20,6,9,1197.875,25000000,2022
27.7279694,85.3457219,12,5,4,1369,42500000,2017
27.7780872,85.36232349672666,12,4,4,4107,67500000,2017
27.7686237,85.3305739,10,4,6,1369,54000000,2017
27.7780872,85.36232349672666,12,5,7,2053.5,95000000,2018
27.7354147,85.3221364,15,6,5,1369,32000000,2021
27.6890227,85.3204209,18,4,4,3422.5,69000000,2017
27.6561677,85.3060365,16,2,1,1437.45,28000000,2020
27.6503928,85.3207649,16,4,3,1129.425,23000000,2021
27.6564581,85.3251667,20,6,4,3080.25,45000000,2014
27.6837719,85.309353,10,6,6,5476,120000000,2020
27.6837719,85.309353,15,6,4,2395.75,75000000,2022
27.6499414,85.3325441,18,4,4,1437.45,100000000,2022
27.6728976,85.3135363,12,5,5,1369,36000000,2022
27.6499414,85.3325441,12,4,4,1026.75,30000000,2022
27.7354147,85.3221364,20,1,1,2738,120000000,2019
27.72047645,85.36504853184782,20,1,1,2395.75,60000000,2015
27.7780872,85.36232349672666,16,1,1,2053.5,45000000,2018
27.707529,85.282715,24,1,1,2738,55000000,2020
27.7126782,85.3287033,16,1,1,5133.75,90000000,2022
27.7437703,85.3343252,10,6,1,1540.125,32000000,2022
27.7126782,85.3287033,12,1,1,4107,95000000,2022
27.7535604,85.3402018,12,5,2,1403.225,34000000,2022
27.7126782,85.3287033,15,6,5,1369,38000000,2015
27.7780872,85.36232349672666,12,7,3,1882.375,45000000,2019
